Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
6212,WA,State Electric Vehicle (EV) Charging Infrastructure Availability,"Publicly and privately owned EVs may charge at state office locations if
the vehicles are used for state business, conducting business with the
state, or as commuter vehicles. Additionally, contingent upon funding,
the state must install electrical outlets suitable for charging EVs in
each of the state's fleet parking and maintenance facilities as well as
every state-operated highway rest stop. The Washington Department of
Enterprise Services may report to the governor and the legislature on
the amount of electricity consumed and the number of EVs using
state-owned charging equipment if it represents a significant cost to
the state.

(Reference [Revised Code of Washington 43.01.250, 43.19.648, and 47.38.075](http://apps.leg.wa.gov/rcw/))",2007-05-07 00:00:00 UTC,2015-05-01 00:00:00 UTC,false,95,Laws and Regulations,"",2015-06-12 19:45:54 UTC,,,,"",ELEC|PHEV,"",REQ,STATION|GOV|IND,http://apps.leg.wa.gov/rcw/,amended,2015-05-01
6531,WA,Electric Vehicle (EV) Promotion and Infrastructure Development,"Any regional transportation planning organization containing a county
with a population greater than one million must collaborate with state
and local governments to promote EV use, invest in EV charging
infrastructure, and seek federal or private funding for these efforts.
Collaborative planning efforts may include:

-   Developing short- and long-term plans outlining how state, regional,
    and local governments may construct electric vehicle supply
    equipment locations and ensure that the infrastructure can be
    electrically supported;
-   Supporting public education and training programs on EVs;
-   Developing an implementation plan for counties with a population
    greater than 500,000 to have 10% of public and private parking
    spaces ready for EV charging by December 31, 2018; and
-   Developing model ordinances and guidance for local governments for
    site assessment and installing EV infrastructure.

(Reference [Revised Code of Washington 47.80.090](http://apps.leg.wa.gov/rcw/))",2009-05-13 00:00:00 UTC,,false,90,Laws and Regulations,"",,,,,"",ELEC|PHEV,"",REQ,OTHER,http://apps.leg.wa.gov/rcw/,enacted,2009-05-13
6532,WA,Electric Vehicle (EV) and Fuel Cell Electric Vehicle (FCEV) Infrastructure and Battery Tax Credit,"Public lands used for installing, maintaining, and operating EV chargers
are exempt from leasehold excise taxes. Additionally, the state sales
and use taxes do not apply to EV and FCEV batteries or fuel cells; labor
and services for installing, repairing, altering, or improving EV and
FCEV batteries fuel cells, or EV and FCEV infrastructure; the sale of
property used for EV and hydrogen fueling infrastructure; and the sale
of zero emission buses.

(Reference [Revised Code of Washington 82.29A.125, 82.08.816, and 82.12.816](http://apps.leg.wa.gov/rcw/))",2009-05-13 00:00:00 UTC,2019-05-07 00:00:00 UTC,false,15,State Incentives,"",2019-06-07 21:22:38 UTC,2025-07-01 00:00:00 UTC,,,"",ELEC|HY|PHEV,EXEM|TAX,"",STATION|MAN,http://leg.wa.gov/|http://apps.leg.wa.gov/rcw/,amended,2019-05-07
6533,WA,Electric Vehicle (EV) and Battery Exchange Station Regulations,"State and local governments may lease land for installing, maintaining,
and operating EV charging stations or electric vehicle battery exchange
stations for up to 50 years for at least \$1 per year. Additionally, the
installation of battery charging and exchange stations is categorically
exempt from the Washington Environmental Policy Act.

(Reference [Revised Code of Washington 79.13.100 and 43.21C.410](http://apps.leg.wa.gov/rcw/))",2009-05-13 00:00:00 UTC,,false,110,Laws and Regulations,"",,,,,"",ELEC|PHEV,"",OTHER,STATION|OTHER,http://apps.leg.wa.gov/rcw/,enacted,2009-05-13
6534,WA,Electric Vehicle (EV) Infrastructure Definitions,"EV infrastructure is defined as structures, machinery, and equipment
necessary and integral to support a EV, including battery charging
stations, rapid charging stations, and battery exchange stations. A
battery charging station is defined as an electrical component assembly
or cluster of component assemblies designed specifically to charge
batteries within a EV. A rapid charging station is defined as an
industrial grade electrical outlet that allows for faster recharging of
EV batteries through higher power levels. A battery exchange station is
defined as a fully automated facility that will enable a EV with a
swappable battery to enter a drive lane and exchange the depleted
battery with a fully charged battery through a fully automated process.
Infrastructure must meet or exceed any applicable state building
standards, codes, and regulations.

(Reference [Revised Code of Washington 19.27.540, 19.28.281, and 47.80.090](http://apps.leg.wa.gov/rcw/))",2009-05-13 00:00:00 UTC,,false,120,Laws and Regulations,"",,,,,"",ELEC|PHEV,"",OTHER,OTHER,http://apps.leg.wa.gov/rcw/,enacted,2009-05-13
6538,WA,Local Government Electric Vehicle (EV) Infrastructure Requirements,"Jurisdictions must develop regulations to allow the use of EV
infrastructure and battery charging stations in all areas except
critical areas or areas zoned for residential or resource use. The
Washington Department of Commerce included a model ordinance,
development regulations, and guidance for local governments for site
assessment and installing EV infrastructure in [Electric Vehicle
Infrastructure: A Guide for Local Governments in Washington
State](https://www.psrc.org/sites/default/files/2022-03/electric-vehicle-guidance.pdf).
This requirement applies to jurisdictions that meet specific location
criteria and is contingent upon federal funding. Additionally, cities or
municipalities may adopt incentive programs to encourage retrofitting of
existing structures capable of charging EVs.

(Reference [Revised Code of Washington 35.63.126, 35.63.127, 35A.63.107, 36.70.695, 36.70A.695, and 43.31.970](http://apps.leg.wa.gov/rcw/))",2009-05-13 00:00:00 UTC,,false,105,Laws and Regulations,"",,,,,"",ELEC|PHEV,"",OTHER,OTHER,http://apps.leg.wa.gov/rcw/,enacted,2009-05-13
8220,WA,Low Carbon Fuel and Fuel-Efficient Vehicle Acquisition Requirement,"Washington state agencies must consider purchasing low carbon fuel
vehicles or converting conventional vehicles to use low carbon fuels
when financially comparable over the vehicle's useful life. Low carbon
fuels include hydrogen, biomethane, electricity, or natural gas blends
of at least 90%. State agencies must achieve an average fuel economy of
36 miles per gallon (mpg) for passenger vehicle fleets in motor pools
and leased conventional vehicles. State agencies must also purchase low
carbon fuel vehicles or, when purchasing new conventional vehicles,
achieve an average fuel economy of 40 mpg for light-duty passenger
vehicles and 27 mpg for light-duty vans and sport utility vehicles. When
calculating average fuel economy, emergency response vehicles, passenger
vans with a gross vehicle weight rating of 8,500 pounds or greater,
off-road vehicles, low carbon fuel vehicles, and vehicles driven less
than 2,000 miles per year are excluded.

(Reference [Revised Code of Washington 43.19.622](http://apps.leg.wa.gov/rcw/))",,2010-03-22 00:00:00 UTC,false,200,Laws and Regulations,"",,,,,"",ELEC|EFFEC|HY|NG|PHEV,"",REQ,GOV,http://apps.leg.wa.gov/rcw/,amended,2010-03-22
9974,WA,Electric Vehicle (EV) Fee,"Owners of all-electric and plug-in hybrid electric vehicles with an
all-electric range of at least 30 miles must pay an annual registration
fee of \$150 and a \$75 transportation electrification fee in addition
to standard vehicle fees. The transportation electrification fee
contributes to state programs supporting the adoption of EVs and
deployment of EV charging infrastructure. Hybrid electric vehicles and
electric motorcycles are also subject to an additional annual fee of
\$75 and \$30, respectively.

(Reference [Revised Code of Washington 46.17.323-324](http://apps.leg.wa.gov/rcw/))",2012-03-23 00:00:00 UTC,2022-03-24 00:00:00 UTC,false,100,Laws and Regulations,"",2023-01-20 15:51:15 UTC,,,,"",ELEC|HEV|PHEV,"",EVFEE|FUEL,FLEET|IND,http://apps.leg.wa.gov/rcw/|http://leg.wa.gov/|http://apps.leg.wa.gov/rcw/|https://apps.leg.wa.gov/billinfo/,amended,2022-03-24
9975,WA,Electric Vehicle (EV) Road User Assessment System Pilot,"The Washington Transportation Commission (Commission) studied the
feasibility of transitioning from a fuel tax to a road user assessment
system in the state. In 2012, the Commission conducted a limited scope
pilot project to test the feasibility of this new system as it applies
to EVs and published outcomes in a
[report](https://www.wsdot.wa.gov/research/reports/fullreports/807.1.pdf).
The Commission began a year-long pilot project in fall 2017. On January
13, 2020, the Commission submitted a
[report](https://waroadusagecharge.org/final-report/) of findings and
recommendations to the governor, state legislature, and the U.S.
Department of Transportation. The state legislature directed the
Commission to further study aspects of the road usage charge program,
including:

-   The impact of a road usage charge, incentives, and other factors on
    consumer purchase of EVs and conduct a test with drivers to assess
    impacts;
-   Delivery vehicle fleets and how a road usage charge may be applied,
    identify potential impacts to fleet operations and costs, state
    department of transportation revenues, and conduct a pilot test;
-   The process for changing vehicle ownership and determine the
    possible implications and identify the process needed for
    reconciling a road usage charge owed between sellers and purchases
    of used vehicles; and,
-   Opportunities for achieving large-scale data integration to support
    road usage charge service provisions that could be offered by
    private-sector service providers and conduct pilot tests to
    determine the ability of services to support automatic mileage
    reporting and periodic payments services.

For more information, see the Commission [Road Usage Charge
Assessment](https://waroadusagecharge.org/) website.

(Reference [Senate Bill 5689, 2022](http://leg.wa.gov/))",2012-03-23 00:00:00 UTC,2016-03-25 00:00:00 UTC,false,115,Laws and Regulations,"",2022-04-11 17:21:41 UTC,,,,"",ELEC|PHEV,"",FUEL,FLEET|GOV|IND,http://leg.wa.gov/|http://leg.wa.gov/|http://leg.wa.gov/,amended,2016-03-25
10554,WA,Public Utility Definition,"An entity that offers electric vehicle supply equipment to the public
for hire may not have their rates, services, facilities or practices
regulated by the Washington Utilities and Transportation Commission
(Commission). The exemption does not apply if the entity is otherwise
subject to Commission jurisdiction as an electrical company, or if an
entity's battery charging facilities and services are subsidized by any
regulated service. A utility may offer battery charging facilities as a
regulated service, subject to Commission approval.

(Reference [Revised Code of Washington 80.28.320](http://apps.leg.wa.gov/rcw/))",2011-07-22 00:00:00 UTC,,false,60,Laws and Regulations,"",,,,,"",ELEC|PHEV,EXEM,UTILITY,STATION|AFP|FLEET|GOV|OTHER,http://apps.leg.wa.gov/rcw/,enacted,2011-07-22
