,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
0,City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,Public,24 hours daily,,4.0,,Non-Networked,47.044011,-122.822404,2023-01-10,33351,2023-02-14 15:54:11 UTC,2018-01-15,J1772,Free; 3 hour maximum charging session
1,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,121.0,,,Non-Networked,47.443377,-122.296229,2023-08-10,33717,2023-08-10 16:58:49 UTC,2010-03-01,NEMA520,Free
2,Avista Corp,1411 E Mission Ave,Spokane,WA,99252,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1.0,2.0,,Non-Networked,47.673347,-117.388933,2023-06-12,35620,2023-06-12 16:56:16 UTC,2010-04-15,J1772 NEMA520,Free
3,Steam Plant Parking,130 S Post St,Spokane,WA,99201,Public,24 hours daily,,6.0,,Non-Networked,47.65579218,-117.4236637,2023-04-06,35621,2023-04-06 17:17:01 UTC,2010-04-15,J1772,Free
4,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Bellevue,WA,98004,Public,24 hours daily,,2.0,,ChargePoint Network,47.614744,-122.193162,2023-09-29,37181,2023-09-29 00:18:15 UTC,2010-12-15,J1772,
5,KING COUNTY DES ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,Public,24 hours daily,,2.0,,ChargePoint Network,47.545324,-122.0195,2023-09-29,38082,2023-09-29 00:32:33 UTC,2008-02-15,J1772,
6,UWB CASCADIA CC NORTH LEVEL 3 N,18500 Campus Way NE,Bothell,WA,98011,Public,24 hours daily,,2.0,,ChargePoint Network,47.761878,-122.191915,2023-09-29,38952,2023-09-29 00:14:58 UTC,2011-03-15,J1772,
7,CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,Public,24 hours daily,,2.0,,ChargePoint Network,47.679224,-122.12995,2023-09-29,38959,2023-09-29 00:10:28 UTC,2011-03-15,J1772,
8,CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,Public,24 hours daily,,2.0,,ChargePoint Network,47.672359,-122.099034,2023-09-29,38966,2023-09-29 00:10:28 UTC,2011-03-15,J1772,
9,Bellingham Nissan,1516 Iowa St,Bellingham,WA,98229,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,48.755607,-122.454132,2020-06-09,39778,2021-03-11 23:22:17 UTC,2011-03-15,CHADEMO J1772,Free
10,Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,47.562162,-122.684286,2020-06-09,39779,2023-02-15 22:45:41 UTC,2011-03-15,J1772,Free
11,Burien Nissan,16042 1st Ave S,Burien,WA,98148,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,47.458466,-122.333257,2022-02-10,39780,2022-02-10 19:42:29 UTC,2011-03-15,CHADEMO J1772,Free
12,Campbell-Nelson Nissan,24325 Highway 99,Edmonds,WA,98026,Public - Call ahead,Dealership business hours,,2.0,,Non-Networked,47.778229,-122.344838,2020-07-13,39782,2023-02-15 22:45:41 UTC,2011-03-15,J1772,Free
13,Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,Public - Call ahead,Dealership business hours,,1.0,1.0,Non-Networked,47.031067,-122.930247,2022-03-07,39786,2023-02-14 15:54:11 UTC,2011-03-15,CHADEMO J1772 J1772COMBO,Free
14,Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,46.236607,-119.128998,2020-06-09,39787,2023-02-15 22:45:41 UTC,2011-03-15,J1772,Free
15,Dan Wilder Nissan,53 Jetta Way,Port Angeles,WA,98362,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,48.102863,-123.342273,2022-02-10,39788,2022-02-10 19:42:29 UTC,2011-03-15,CHADEMO J1772,Free
16,Bill Korum's Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,Public - Call ahead,Dealership business hours,,1.0,1.0,Non-Networked,47.207367,-122.294997,2022-02-10,39789,2022-02-10 19:42:29 UTC,2011-03-15,CHADEMO J1772 J1772COMBO,Free
17,Younker Nissan,3401 E Valley Rd,Renton,WA,98058,Public,Dealership business hours,,1.0,1.0,Non-Networked,47.448354,-122.2188,2022-03-07,39791,2023-02-14 15:54:11 UTC,2011-03-15,CHADEMO J1772 J1772COMBO,Free
18,Wendle Nissan,9000 N Division St,Spokane,WA,99218,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,47.739021,-117.409937,2020-06-09,39795,2021-03-11 23:22:17 UTC,2011-03-15,J1772,Free
19,Dave Smith Nissan - Spokane,6901 E Sprague Ave,Spokane Valley,WA,99212,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,47.657264,-117.312518,2022-02-10,39796,2022-02-10 19:42:29 UTC,2011-03-15,CHADEMO J1772,Free
20,Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,Public - Call ahead,Dealership business hours,,1.0,1.0,Non-Networked,47.21978,-122.48576,2022-02-10,39797,2022-02-10 19:42:29 UTC,2011-03-15,CHADEMO J1772 J1772COMBO,Free
21,Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,Public - Call ahead,Dealership business hours,,1.0,1.0,Non-Networked,45.648094,-122.597954,2022-02-10,39798,2022-02-10 19:42:29 UTC,2011-03-15,CHADEMO J1772 J1772COMBO,Free
22,O'Brien Nissan,1395 Dalles Military Rd,Walla Walla,WA,99362,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,46.047464,-118.353406,2020-06-09,39799,2021-03-11 23:22:17 UTC,2011-03-15,J1772,Free
23,KEY CENTER KEY CENTER 6,601 108th Ave NE,Bellevue,WA,98004,Public,24 hours daily,,2.0,,ChargePoint Network,47.616104,-122.19696,2023-09-29,40383,2023-09-29 00:28:18 UTC,2011-05-15,J1772,
24,KRC SKYLINE SKYLINE #1,10900 NE 4th St,Bellevue,WA,98004,Public,24 hours daily,,2.0,,ChargePoint Network,47.61434,-122.194037,2023-09-29,40384,2023-09-29 00:23:56 UTC,2011-05-15,J1772,
25,CITY OF SEATAC CITY HALL 1,4800 S 188th St,SeaTac,WA,98188,Public,24 hours daily,,2.0,,ChargePoint Network,47.434021,-122.273183,2023-09-29,41776,2023-09-29 00:14:54 UTC,2011-12-31,J1772,
26,BELLEVUE SBCC #2,14509 SE Newport Way,Bellevue,WA,98006,Public,24 hours daily,,2.0,,ChargePoint Network,47.568871,-122.145285,2023-09-29,42228,2023-09-29 00:28:58 UTC,2011-11-15,J1772,
27,SAMMAMISH GARAGE 1,801 228th Ave SE,Sammamish,WA,98075,Public,24 hours daily,,2.0,,ChargePoint Network,47.601657,-122.036938,2023-09-29,42240,2023-09-29 00:15:29 UTC,2011-11-15,J1772,
28,IBEW LOCAL 46 IBEW LOCAL 46 1,19802 62nd Ave S,Kent,WA,98032,Public,24 hours daily,,2.0,,ChargePoint Network,47.424222,-122.256619,2023-09-29,43299,2023-09-29 00:16:31 UTC,2012-01-15,J1772,
29,VALLEY MED CTR MAIN LOT #5,400 S 43rd St,Renton,WA,98055,Public,24 hours daily,,2.0,,ChargePoint Network,47.443255,-122.212445,2023-09-29,43303,2023-09-29 00:06:10 UTC,2012-01-15,J1772,
30,VALLEY MED CTR N GARAGE #1,4033 Talbot Rd S,Renton,WA,98055,Public,24 hours daily,,2.0,,ChargePoint Network,47.444606,-122.214491,2023-09-29,43305,2023-09-29 00:17:07 UTC,2012-01-15,J1772,
