,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
0,LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,Private,Fleet use only,,57,2,SHELL_RECHARGE,34.24831915,-118.3879714,9/14/23,1517,2023-09-14 14:01:49 UTC,10/15/99,CHADEMO J1772 J1772COMBO,
1,LADWP - West LA District Office,1394 S Sepulveda Blvd,Los Angeles,CA,90024,Private,,,4,,Non-Networked,34.052542,-118.448504,1/10/23,1519,2023-02-15 22:45:41 UTC,2/28/20,J1772,Free
2,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,Public,5:30am-9pm; pay lot,,7,,Non-Networked,34.040539,-118.271387,1/10/23,1523,2023-02-14 15:54:11 UTC,8/30/95,J1772,Free; parking fee
3,LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,Private,For fleet and employee use only,,338,12,Non-Networked,34.059133,-118.248589,9/14/23,1525,2023-09-14 14:01:49 UTC,10/15/99,CHADEMO J1772 J1772COMBO,
4,LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,Private,Fleet use only,,19,1,Non-Networked,33.759802,-118.096665,1/10/23,1531,2023-02-15 22:45:41 UTC,5/1/18,CHADEMO J1772 J1772COMBO,
5,LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,Private,Fleet use only,,10,,Non-Networked,33.770508,-118.265628,1/10/23,1552,2023-02-15 22:45:41 UTC,10/15/99,J1772,
6,LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,Private - Government only,Fleet use only,,2,,Non-Networked,34.30309,-118.480505,1/10/23,1556,2023-02-15 22:45:41 UTC,1/1/16,J1772,
7,LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,Private,Fleet and employee use only,,46,1,Non-Networked,34.066801,-118.227605,1/10/23,1572,2023-02-15 22:45:41 UTC,10/15/99,CHADEMO J1772,
8,LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,Private,Fleet use only,,13,,Non-Networked,34.036777,-118.368841,1/10/23,1573,2023-02-15 22:45:41 UTC,4/1/19,J1772,
9,California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,Public,24 hours daily,,3,,Non-Networked,34.06872,-118.064,9/14/22,1583,2023-02-14 15:54:11 UTC,10/15/96,J1772,Free
10,LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,Private,Fleet use only,,27,,Non-Networked,34.039736,-118.236065,9/14/23,1589,2023-09-14 14:01:49 UTC,10/15/99,J1772,
11,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,Public,24 hours daily,,1,,Non-Networked,32.89947,-117.243,1/10/23,6355,2023-02-14 15:54:11 UTC,7/30/97,J1772,Free; parking fee
12,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,Public - Call ahead,Dealership business hours; customer use only,,2,,Non-Networked,34.221665,-118.468371,8/10/23,6405,2023-08-10 16:58:49 UTC,12/11/12,J1772,
13,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,Public,6am-12am daily,,4,,Non-Networked,33.909914,-117.459053,9/14/23,6425,2023-09-14 14:01:49 UTC,8/30/97,J1772,Free
14,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,Public,24 hours daily; pay lot,,16,,Non-Networked,34.14762,-118.147111,1/10/22,6505,2023-10-05 19:34:16 UTC,8/30/97,J1772,Free
15,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,Public,24 hours daily; pay lot,,2,,Non-Networked,34.145138,-118.152655,1/10/23,6506,2023-02-14 15:54:11 UTC,8/30/97,J1772,Free; parking fee
16,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,Public,24 hours daily; pay lot,,3,,Non-Networked,34.145119,-118.150133,1/10/23,6507,2023-02-14 15:54:11 UTC,8/30/97,J1772,"$1 for the first two hours, $2 each additional hour; parking fee"
17,Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,Public,24 hours daily,,,,Non-Networked,34.118433,-118.149597,5/3/23,6509,2023-05-03 20:36:28 UTC,8/31/97,,Free
18,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,Public,24 hours daily; pay lot; see valet for access,,1,,Non-Networked,33.7637,-118.192,1/10/23,7172,2023-02-14 15:54:11 UTC,5/4/12,J1772,Free
19,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,Public,24 hours daily; pay lot,,20,,Non-Networked,33.94325,-118.403342,8/10/22,7184,2023-02-14 15:54:11 UTC,6/30/98,J1772,$2 service fee + $0.45 per kWh
20,Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,5,,Volta,34.2387162,-118.554686,10/12/23,7192,2023-10-12 01:06:28 UTC,5/30/98,J1772,
21,Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,Public,24 hours daily; guest use only,,1,,Non-Networked,34.07122,-117.575,5/3/23,7194,2023-05-03 20:36:28 UTC,6/15/98,J1772,Free
22,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,Public,24 hours daily; guest use only,,1,,Non-Networked,34.228315,-119.170865,5/3/23,7195,2023-05-03 20:36:28 UTC,5/30/98,J1772,Free
23,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,Public,24 hours daily; pay lot; priority given to registered guests,,2,,Non-Networked,33.824004,-116.543589,1/10/23,7196,2023-02-14 15:54:11 UTC,12/12/11,J1772,Free
24,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,Public,8am-4:30pm M-F,,3,,Non-Networked,34.0189,-117.38,5/3/23,7206,2023-05-03 20:36:28 UTC,5/30/98,J1772,Free
25,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,Public,24 hours daily; pay lot,,4,,Non-Networked,38.69005,-121.58889,11/4/21,7212,2023-10-05 19:12:35 UTC,6/30/98,J1772,$12 parking fee
26,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,Public,24 hours daily,,2,,Non-Networked,34.017081,-118.44704,1/10/23,7229,2023-02-14 15:54:11 UTC,6/30/98,J1772,Free
27,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,Public,24 hours daily; pay lot,,3,,Non-Networked,34.010021,-118.49583,1/10/23,7230,2023-02-14 15:54:11 UTC,4/8/19,J1772,Free
28,Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,CA,91423,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,2,,Volta,34.1564065,-118.4389655,10/12/23,7233,2023-10-12 01:06:42 UTC,5/30/98,J1772,
29,Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,Public - Call ahead,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,1,,,Non-Networked,34.138717,-118.35904,9/14/22,7242,2023-02-14 15:54:11 UTC,5/30/98,NEMA520,Free
